Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag,predict,real
50,0,3,5,1,2,1,40,3,3,1,1848.0,501,1347.0,0.653,4600,69,0.6829999999999999,0.271,1,1,1
56,0,1,3,0,3,1,36,2,1,3,8331.0,0,8331.0,0.705,14324,103,0.6890000000000001,0.0,1,1,1
41,0,4,5,3,1,1,30,3,1,2,5417.0,1904,3513.0,0.496,1768,56,0.556,0.35100000000000003,1,1,1
41,1,0,3,0,6,1,36,3,2,3,18214.0,1998,16216.0,0.8290000000000001,1344,21,1.1,0.11,1,1,1
37,0,1,4,1,1,1,20,3,2,5,9466.0,0,9466.0,0.818,2503,70,0.489,0.0,1,1,1
37,0,2,6,1,2,1,28,1,3,1,3525.0,1519,2006.0,0.685,13625,110,1.0,0.431,1,1,1
58,0,3,6,1,2,1,54,4,2,3,8886.0,0,8886.0,0.6940000000000001,4148,79,0.7559999999999999,0.0,1,1,1
55,0,4,5,3,3,1,41,1,1,3,1438.3,0,1438.3,0.861,4885,88,0.63,0.0,1,1,1
38,1,1,5,0,5,1,25,4,2,4,8138.0,0,8138.0,0.596,4839,61,0.649,0.0,1,1,1
40,0,4,5,3,1,1,28,1,3,3,1622.0,972,650.0,0.866,4216,71,1.367,0.599,1,1,1
56,1,4,5,1,5,1,46,2,3,1,25736.0,1388,24348.0,0.743,7209,91,0.596,0.054000000000000006,1,1,1
39,0,2,4,1,2,1,36,6,3,3,9476.0,0,9476.0,0.605,1128,27,0.929,0.0,1,0,1
53,1,3,3,1,2,1,47,5,1,1,3351.0,1474,1877.0,0.393,4294,66,0.737,0.44,1,1,1
42,1,5,1,3,4,1,22,6,2,4,5096.0,0,5096.0,0.8079999999999999,2574,43,0.483,0.0,0,1,0
43,1,3,4,3,5,1,24,6,3,1,4726.0,1161,3565.0,0.698,4683,91,0.8959999999999999,0.246,1,1,1
35,0,1,3,3,2,1,26,4,2,3,1918.0,900,1018.0,0.873,4237,76,0.9,0.469,1,1,1
36,1,2,6,3,4,1,29,5,3,3,7712.0,2517,5195.0,0.6759999999999999,1845,40,0.7390000000000001,0.326,1,1,1
47,1,3,5,2,2,1,40,4,4,3,6397.0,0,6397.0,0.632,2511,56,0.556,0.0,0,0,0
60,1,0,1,3,4,1,54,4,1,0,2759.0,2501,258.0,0.505,1650,34,0.7,0.906,1,1,1
45,0,2,5,3,2,1,40,6,3,3,5848.0,2517,3331.0,0.561,2000,32,0.28,0.43,0,1,0
39,0,3,5,3,2,1,27,3,3,2,1902.0,962,940.0,0.534,4203,69,0.725,0.506,1,1,1
48,1,5,5,3,5,1,35,4,3,3,9030.0,2369,6661.0,0.662,4899,84,0.867,0.262,1,1,1
40,0,3,3,1,3,1,36,5,3,2,5124.0,2235,2889.0,0.542,1158,42,0.355,0.436,1,1,1
45,0,4,5,0,1,1,36,4,1,3,3416.0,727,2689.0,0.58,4121,83,0.7290000000000001,0.213,1,1,1
49,1,4,4,3,5,1,44,2,3,3,31091.0,966,30125.0,0.57,14565,108,0.742,0.031,1,1,1
51,0,4,1,1,2,1,41,3,1,3,5530.0,1999,3531.0,1.018,1766,45,0.667,0.361,1,1,1
44,0,4,2,1,1,1,24,6,3,2,2717.0,1720,997.0,0.8690000000000001,4196,71,0.614,0.633,1,1,1
54,0,1,5,3,2,1,48,4,3,2,6814.0,1570,5244.0,0.653,1339,30,0.364,0.23,1,1,1
40,0,3,4,3,1,1,36,4,2,4,9191.0,1666,7525.0,0.815,4275,83,0.7659999999999999,0.181,1,1,1
50,0,3,3,1,2,1,36,4,3,1,1986.0,1614,372.0,0.5539999999999999,4442,64,0.73,0.813,1,1,1
49,1,3,2,3,6,1,38,2,3,3,8549.0,0,8549.0,1.023,9192,77,0.7909999999999999,0.0,0,1,0
43,1,5,3,3,6,1,37,4,3,4,11099.0,0,11099.0,0.89,3980,77,0.75,0.0,1,1,1
43,0,5,5,3,2,1,23,5,3,3,8597.0,903,7694.0,0.773,5173,78,0.733,0.105,1,1,1
33,0,3,6,0,1,1,25,3,2,4,4734.0,2517,2217.0,0.483,2275,55,0.897,0.532,0,1,0
43,1,3,4,0,5,1,39,3,3,1,24850.0,1662,23188.0,0.693,1226,25,0.923,0.067,1,1,1
39,0,5,5,3,2,1,36,3,3,3,3664.0,0,3664.0,0.419,1479,44,0.913,0.0,0,0,0
34,0,1,4,3,2,1,30,3,3,3,2617.0,1010,1607.0,0.659,2003,47,0.679,0.386,1,1,1
54,0,2,5,1,2,1,48,6,1,4,6610.0,928,5682.0,0.894,3328,69,0.6829999999999999,0.14,1,1,1
46,0,4,1,1,3,2,35,6,3,2,16985.0,968,16017.0,0.455,2961,56,0.647,0.057,1,1,1
49,0,4,5,3,3,1,41,5,1,2,6250.0,644,5606.0,1.06,2433,41,1.158,0.103,1,1,1
32,1,1,7,1,4,1,27,5,3,3,10029.0,606,9423.0,0.727,2192,58,0.657,0.06,1,1,1
42,0,3,1,1,2,1,37,6,1,3,6453.0,0,6453.0,0.76,4822,74,0.609,0.0,1,1,1
60,1,0,7,0,3,2,53,4,2,1,16541.0,1428,15113.0,0.846,4352,82,0.907,0.086,1,1,1
38,1,3,5,1,5,1,31,6,1,2,13637.0,0,13637.0,0.5660000000000001,3625,73,0.659,0.0,1,1,1
48,0,1,5,0,2,1,36,6,2,3,1708.0,1059,649.0,0.764,4880,79,0.795,0.62,1,1,1
37,0,1,5,1,2,1,36,6,2,4,6827.0,0,6827.0,0.754,2621,49,0.815,0.0,1,1,1
48,1,5,3,3,5,2,40,6,2,2,34516.0,1417,33099.0,0.6920000000000001,16579,109,0.879,0.041,1,1,1
47,0,4,5,3,2,1,30,2,3,3,2124.0,1573,551.0,0.728,4592,83,0.804,0.741,1,1,1
33,1,1,5,3,6,1,21,4,1,3,4459.0,1899,2560.0,1.349,2502,48,1.0,0.426,1,1,1
55,0,2,5,0,2,1,36,5,1,2,2712.0,1617,1095.0,0.715,4858,73,0.738,0.596,1,1,1
54,0,2,2,3,2,1,50,3,6,3,2247.0,0,2247.0,0.6409999999999999,2615,37,0.423,0.0,0,0,0
46,1,3,7,2,5,1,38,6,3,3,8258.0,1771,6487.0,0.0,1447,23,0.0,0.214,0,1,0
58,1,2,2,1,5,1,46,1,3,1,10286.0,0,10286.0,0.908,8199,59,0.903,0.0,0,1,0
41,1,3,7,1,4,1,34,5,3,2,12420.0,0,12420.0,0.7090000000000001,4422,70,0.628,0.0,1,1,1
48,0,5,2,1,3,1,38,1,2,3,2446.0,1461,985.0,0.86,4610,78,0.773,0.597,1,1,1
43,0,4,5,1,2,1,32,6,3,4,4341.0,0,4341.0,0.613,3825,63,0.537,0.0,1,1,1
41,1,3,5,1,3,1,36,2,3,2,8919.0,1723,7196.0,0.848,13719,96,0.7140000000000001,0.193,1,1,1
50,0,1,3,1,1,1,42,5,0,4,10057.0,0,10057.0,0.792,2383,42,0.448,0.0,0,1,0
31,1,1,4,1,3,1,36,3,1,2,11109.0,2045,9064.0,0.625,13988,92,0.84,0.184,1,1,1
36,1,2,5,1,6,1,28,4,3,0,3174.0,2462,712.0,0.772,3140,74,0.721,0.7759999999999999,1,1,1
35,1,3,4,1,4,1,36,5,1,3,2780.0,0,2780.0,0.565,2469,67,0.8109999999999999,0.0,1,0,1
43,0,3,5,2,1,1,33,6,3,4,14622.0,0,14622.0,0.959,4632,67,0.457,0.0,1,1,1
45,1,3,2,3,3,1,36,3,1,1,10619.0,607,10012.0,0.883,4074,65,0.477,0.057,1,1,1
55,1,2,5,3,2,3,46,3,5,3,15987.0,0,15987.0,0.82,15853,117,0.56,0.0,1,1,1
41,1,5,5,3,5,1,37,1,3,2,12578.0,2517,10061.0,0.875,8362,82,0.64,0.2,1,1,1
44,0,4,5,1,1,1,36,2,1,2,7469.0,1378,6091.0,0.8590000000000001,15225,108,0.862,0.184,1,1,1
44,1,5,1,3,4,1,34,5,3,2,2791.0,1979,812.0,0.807,4617,70,0.628,0.7090000000000001,1,1,1
47,1,2,5,1,3,1,35,6,1,3,2676.0,2157,519.0,0.901,4640,69,0.605,0.8059999999999999,1,1,1
50,0,3,5,3,3,1,41,2,3,1,4755.0,0,4755.0,0.7759999999999999,15999,109,0.73,0.0,1,1,1
37,0,3,4,3,2,1,28,4,2,1,1788.0,0,1788.0,1.001,3511,56,0.931,0.0,1,1,1
45,0,3,3,1,1,1,36,6,1,2,3111.0,1994,1117.0,0.753,4478,56,0.6970000000000001,0.6409999999999999,1,1,1
53,1,4,5,3,4,1,44,3,2,4,1973.0,1324,649.0,0.805,1587,38,0.52,0.6709999999999999,1,1,1
45,1,4,5,3,4,1,39,6,3,2,12890.0,0,12890.0,0.5760000000000001,2216,51,0.545,0.0,0,1,0
45,0,3,3,3,3,1,30,5,2,2,12355.0,0,12355.0,0.912,1044,28,0.273,0.0,0,0,0
63,0,0,2,0,3,1,55,6,2,2,1651.0,1433,218.0,0.985,4050,58,0.611,0.868,1,1,1
33,1,2,5,3,5,1,28,4,2,2,22399.0,1431,20968.0,1.019,2390,62,0.722,0.064,1,1,1
53,1,0,2,2,6,1,47,5,2,1,26129.0,1752,24377.0,0.742,4919,75,0.7440000000000001,0.067,1,1,1
45,0,3,5,1,3,1,39,4,4,0,1765.0,1694,71.0,0.76,4803,72,0.532,0.96,1,1,1
50,0,0,2,1,3,1,41,6,2,3,7507.0,1697,5810.0,1.098,4651,71,1.029,0.226,1,1,1
41,0,3,5,3,2,1,29,6,3,1,1959.0,1268,691.0,0.731,4275,61,0.649,0.647,1,1,1
34,1,1,5,3,6,1,29,4,3,2,14938.0,1412,13526.0,0.677,1930,36,0.636,0.095,1,1,1
40,0,5,2,3,2,1,24,6,1,1,2038.0,793,1245.0,0.682,3513,67,0.634,0.389,1,1,1
51,0,2,5,3,2,1,36,3,1,3,3106.0,1304,1802.0,0.604,1368,38,0.407,0.42,1,1,1
40,0,4,1,3,3,1,30,1,3,4,3356.0,2517,839.0,0.583,2032,39,0.147,0.75,0,1,0
42,1,3,2,3,4,1,25,6,2,3,13546.0,1720,11826.0,0.5379999999999999,3943,73,0.698,0.127,1,1,1
47,0,5,5,3,2,1,39,3,3,4,7128.0,1560,5568.0,0.573,1468,44,0.76,0.219,1,1,1
59,0,1,5,1,2,1,51,1,4,4,4257.0,2517,1740.0,0.703,2828,50,1.083,0.591,0,1,0
48,0,1,2,1,3,3,28,3,2,1,23981.0,1454,22527.0,0.925,9140,64,0.684,0.061,0,1,0
46,0,3,2,1,3,1,36,3,2,2,7020.0,1784,5236.0,0.815,16937,116,0.731,0.254,1,1,1
56,1,2,5,3,5,1,51,3,3,3,12186.0,1080,11106.0,0.8420000000000001,4785,66,0.65,0.08900000000000001,1,1,1
41,0,2,4,3,2,1,36,5,5,1,1438.3,0,1438.3,0.6859999999999999,4565,84,0.7140000000000001,0.0,1,1,1
64,0,0,1,3,1,1,55,4,1,4,2508.0,1580,928.0,0.44,1607,44,0.419,0.63,1,1,1
48,1,2,5,1,3,1,31,6,3,3,3261.0,1730,1531.0,0.682,4242,65,0.667,0.531,1,1,1
33,0,2,5,1,2,1,17,4,3,4,2431.0,1846,585.0,0.612,4327,74,0.644,0.759,1,1,1
45,0,2,7,2,3,1,36,5,3,3,2788.0,1826,962.0,0.521,4437,67,0.595,0.655,1,1,1
56,0,3,5,3,2,1,41,5,4,1,1438.3,0,1438.3,0.7959999999999999,3778,72,1.118,0.0,1,1,1
49,1,4,2,3,5,1,39,2,3,2,8561.0,915,7646.0,0.637,7341,79,0.491,0.107,1,1,1
45,0,1,5,1,3,1,36,5,2,2,1936.0,1613,323.0,0.841,4773,80,0.818,0.833,1,1,1
60,1,1,1,2,3,1,49,4,3,2,3012.0,0,3012.0,0.5379999999999999,1315,23,0.278,0.0,1,0,1
47,1,4,7,1,5,1,36,3,1,1,18037.0,0,18037.0,0.74,1387,36,0.333,0.0,1,1,1
43,1,4,1,3,4,1,35,6,3,2,24396.0,1171,23225.0,0.655,965,17,1.125,0.048,1,1,1
62,0,1,3,3,1,1,56,2,1,2,8990.0,0,8990.0,0.935,747,19,0.583,0.0,0,0,0
46,1,3,4,3,4,1,38,5,3,4,15483.0,1719,13764.0,0.6859999999999999,4678,80,0.509,0.111,1,1,1
55,1,3,2,3,4,1,44,3,2,2,2323.0,0,2323.0,0.737,804,15,0.5,0.0,0,0,0
46,1,3,2,1,6,1,27,4,2,3,34516.0,2213,32303.0,0.584,4492,71,0.821,0.064,1,1,1
62,0,0,5,1,1,2,49,5,1,2,30310.0,0,30310.0,0.777,3703,91,0.4920000000000001,0.0,1,1,1
53,1,5,2,0,5,1,47,2,3,2,2340.0,1612,728.0,0.696,8851,88,0.833,0.6890000000000001,1,1,1
49,0,4,3,1,2,3,34,4,3,2,15569.0,1554,14015.0,0.436,4566,73,0.78,0.1,1,1,1
41,1,4,2,1,5,1,30,3,3,4,14480.0,0,14480.0,0.703,1616,43,0.654,0.0,1,1,1
34,0,1,3,1,1,1,22,6,1,0,10253.0,1857,8396.0,1.193,3042,66,0.941,0.181,1,1,1
34,1,2,3,0,5,1,22,4,3,2,11154.0,1612,9542.0,0.633,4339,77,1.026,0.145,1,1,1
44,1,2,5,3,5,1,36,3,3,2,12230.0,1196,11034.0,0.62,3659,76,0.52,0.098,1,1,1
59,1,0,2,1,3,1,46,3,3,3,1648.0,997,651.0,0.7759999999999999,1776,36,0.565,0.605,1,1,1
36,0,4,2,0,3,1,16,1,2,2,4370.0,1222,3148.0,0.648,7223,90,0.552,0.28,1,1,1
46,0,1,5,3,2,1,40,6,2,2,5157.0,1485,3672.0,0.6990000000000001,4417,77,0.711,0.28800000000000003,1,1,1
47,0,3,6,3,2,1,29,4,2,2,2897.0,638,2259.0,1.041,4491,75,0.7859999999999999,0.22,1,1,1
51,1,2,5,3,4,2,36,3,6,3,26142.0,0,26142.0,0.6509999999999999,3969,78,0.902,0.0,1,1,1
58,0,2,5,1,3,1,50,4,3,3,5386.0,0,5386.0,0.777,4846,84,0.68,0.0,1,1,1
56,1,3,5,3,5,1,50,3,3,3,8022.0,1372,6650.0,0.8959999999999999,1794,31,1.385,0.171,1,1,1
58,1,1,3,3,4,1,46,3,2,4,4188.0,1147,3041.0,1.042,1276,25,1.083,0.274,1,1,1
43,1,3,5,3,6,1,36,3,2,2,22906.0,1132,21774.0,0.942,3204,64,0.73,0.049,1,1,1
54,1,3,3,3,6,1,42,6,3,2,20311.0,1655,18656.0,0.431,1266,34,0.308,0.081,1,1,1
63,0,0,2,1,3,1,56,3,6,4,1438.3,0,1438.3,0.8640000000000001,3630,71,0.578,0.0,1,1,1
41,0,3,3,3,3,1,36,4,1,2,9797.0,1434,8363.0,0.644,1503,34,0.478,0.146,1,1,1
45,0,4,6,1,2,1,36,1,3,3,4477.0,2517,1960.0,1.022,4996,55,0.486,0.562,0,1,0
45,1,4,4,1,6,1,40,3,3,3,2900.0,1782,1118.0,1.351,4686,64,0.561,0.614,1,1,1
40,1,5,5,0,6,1,27,5,2,3,31954.0,2297,29657.0,0.516,4371,82,0.64,0.07200000000000001,1,1,1
48,0,2,1,1,1,1,38,4,4,3,2792.0,1375,1417.0,0.8540000000000001,4364,62,0.879,0.4920000000000001,1,1,1
42,1,3,3,3,5,1,36,3,2,2,24126.0,948,23178.0,0.616,3342,52,0.677,0.039,1,1,1
56,0,3,6,1,2,1,42,3,2,2,2490.0,1623,867.0,0.79,2998,60,0.622,0.652,1,1,1
41,0,3,5,1,2,2,30,2,1,1,11463.0,0,11463.0,0.908,14511,105,0.721,0.0,1,1,1
50,0,4,1,3,1,2,36,6,1,2,32156.0,1791,30365.0,0.906,1559,39,1.167,0.056,1,1,1
56,0,4,3,1,2,1,36,3,1,3,8881.0,2145,6736.0,0.705,2027,49,0.815,0.242,1,1,1
55,0,1,5,3,3,1,46,5,4,4,4589.0,1622,2967.0,0.425,1569,33,0.269,0.353,1,1,1
43,0,5,5,3,2,2,33,6,3,2,14806.0,2517,12289.0,0.5579999999999999,4804,57,0.462,0.17,0,1,0
35,1,3,3,3,4,1,24,3,2,2,2066.0,1699,367.0,0.624,1895,43,0.536,0.8220000000000001,1,1,1
42,1,3,2,3,3,1,37,2,3,3,4960.0,1724,3236.0,0.879,8218,88,0.913,0.348,1,1,1
39,1,2,3,1,4,1,28,6,3,3,10331.0,957,9374.0,0.6990000000000001,3695,81,0.653,0.093,1,1,1
42,1,4,2,3,2,1,37,4,3,2,2411.0,1797,614.0,0.607,4331,63,0.5,0.745,1,1,1
41,0,5,1,3,2,1,22,2,1,3,6739.0,896,5843.0,0.765,15471,115,0.855,0.133,1,1,1
50,1,3,5,1,3,1,33,3,1,2,2798.0,1291,1507.0,0.708,2903,69,0.6829999999999999,0.461,1,1,1
36,0,0,1,3,2,2,19,1,2,3,13313.0,0,13313.0,1.08,15549,121,0.833,0.0,1,1,1
53,0,3,5,3,2,1,42,3,1,1,2404.0,1109,1295.0,0.639,4519,72,0.636,0.461,1,1,1
55,0,1,5,0,2,1,36,4,2,2,3552.0,2517,1035.0,0.865,2665,36,0.333,0.7090000000000001,0,1,0
34,0,3,5,3,2,3,36,6,3,2,15487.0,1847,13640.0,0.943,7031,67,0.8109999999999999,0.119,0,1,0
57,1,2,3,1,4,1,47,6,3,4,2248.0,0,2248.0,0.735,4439,77,0.54,0.0,1,1,1
60,0,0,4,1,2,1,55,5,1,3,1438.3,738,700.3,0.782,1226,33,0.5710000000000001,0.513,1,1,1
45,0,4,5,0,2,1,34,5,4,2,2480.0,1890,590.0,0.652,4114,66,0.737,0.762,1,1,1
55,0,4,1,3,3,1,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.7140000000000001,0.0,0,0,0
45,0,2,5,3,1,1,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,1,1,1
45,0,3,5,3,2,1,38,3,3,2,2400.0,1613,787.0,0.629,1311,34,0.417,0.672,1,1,1
58,1,2,2,1,6,1,46,2,3,4,16163.0,0,16163.0,0.542,2171,48,0.778,0.0,0,1,0
38,1,3,5,3,4,1,34,6,3,3,5323.0,2301,3022.0,0.68,1783,33,0.65,0.4320000000000001,1,1,1
56,1,3,5,3,6,1,46,3,3,2,5270.0,779,4491.0,0.731,16179,105,0.6940000000000001,0.14800000000000002,1,1,1
54,1,2,5,3,4,1,42,6,2,0,3583.0,0,3583.0,1.088,1065,28,1.545,0.0,1,0,1
37,0,2,7,1,3,1,18,4,1,3,1900.0,0,1900.0,0.7759999999999999,2880,46,0.353,0.0,0,1,0
62,1,0,4,3,3,1,54,3,3,4,1438.3,0,1438.3,0.795,1843,49,0.581,0.0,1,0,1
40,1,3,1,3,6,2,30,6,3,2,34516.0,964,33552.0,0.521,2922,71,0.775,0.028,1,1,1
37,0,3,5,0,1,1,22,2,3,2,5674.0,0,5674.0,0.906,1096,29,0.526,0.0,0,0,0
37,0,4,4,3,2,1,36,6,3,1,1438.3,787,651.3,0.914,4587,58,0.568,0.547,1,1,1
45,0,3,1,2,2,1,34,1,2,1,1811.0,787,1024.0,0.585,4882,80,1.162,0.435,1,1,1
49,1,1,3,3,4,3,36,2,2,3,6224.0,2201,4023.0,0.8320000000000001,7693,70,0.628,0.354,1,1,1
51,0,0,3,3,3,1,40,6,2,2,5450.0,1674,3776.0,0.588,3722,77,0.711,0.307,1,1,1
44,0,2,7,1,3,1,25,4,3,2,4210.0,0,4210.0,1.224,4248,65,0.857,0.0,1,1,1
35,1,3,6,3,5,1,28,3,1,2,4380.0,0,4380.0,0.7190000000000001,17258,121,0.7040000000000001,0.0,1,1,1
54,0,3,3,2,1,1,36,3,5,3,4806.0,0,4806.0,0.8270000000000001,4674,87,0.74,0.0,1,1,1
36,0,2,3,1,1,1,26,3,2,2,5956.0,2517,3439.0,0.877,2828,46,0.484,0.423,0,1,0
46,0,4,1,3,1,1,27,1,2,3,6030.0,0,6030.0,1.031,4983,62,0.442,0.0,0,1,0
44,0,3,4,3,2,1,31,5,6,2,2679.0,727,1952.0,0.894,4804,78,0.8140000000000001,0.271,1,1,1
49,0,1,5,2,1,2,43,1,3,1,34516.0,1163,33353.0,0.725,3941,71,0.821,0.034,1,1,1
36,0,2,2,1,3,1,26,3,2,4,3131.0,2379,752.0,0.748,2315,63,0.853,0.76,1,1,1
26,1,0,3,1,2,1,36,6,3,3,2735.0,1348,1387.0,0.805,2441,58,0.45,0.493,1,1,1
36,0,3,3,3,2,1,28,3,1,1,1967.0,0,1967.0,0.73,4620,77,0.878,0.0,1,1,1
47,1,3,6,0,5,1,36,6,2,2,13399.0,2505,10894.0,0.627,1326,31,0.8240000000000001,0.187,1,1,1
44,1,4,1,3,6,1,36,4,3,3,34516.0,0,34516.0,1.043,5425,60,0.875,0.0,0,1,0
41,1,2,4,3,5,1,31,1,1,3,3306.0,706,2600.0,0.8140000000000001,4772,76,0.9,0.214,1,1,1
53,0,2,4,3,1,1,41,5,1,3,5659.0,1393,4266.0,0.436,1570,40,0.6,0.246,1,1,1
33,1,2,3,3,5,1,23,6,2,2,1630.0,0,1630.0,0.605,4426,91,0.784,0.0,1,1,1
50,1,2,5,3,5,1,44,3,3,0,4589.0,0,4589.0,0.845,1590,37,0.37,0.0,1,0,1
37,0,4,6,3,2,1,36,3,3,3,1586.0,0,1586.0,0.4970000000000001,2109,41,0.414,0.0,0,0,0
37,1,1,3,3,4,1,27,6,3,3,10320.0,1799,8521.0,0.75,1754,45,0.5,0.174,1,1,1
40,0,4,4,3,3,1,24,5,3,2,2606.0,1818,788.0,0.703,1999,50,1.1740000000000002,0.698,1,1,1
